experiment_name,target_key,target_label,input_type,behavior_scope,n_total,n_train,n_test,n_features,n_features_raw,cv_folds_total,cv_MAE_mean,cv_MAE_std,cv_RMSE_mean,cv_RMSE_std,cv_R2_mean,cv_R2_std,cv_R2_min,cv_R2_max,test_MAE,test_RMSE,test_R2,status,error
shaps__behavioral_only__relevant,shaps,SHAPS anhedonia severity,behavioral_only,relevant,222,177,45,24,21,15,1.316185053800324,0.23872158401681667,2.087099753980461,0.3488800779170625,0.3325777355723842,0.08326590648057601,0.15885024901908829,0.48036158709022625,1.1151760408581366,1.660610596188978,-0.0007519342570976306,ok,
shaps__behavioral_only__category,shaps,SHAPS anhedonia severity,behavioral_only,category,222,177,45,8,5,15,1.5740341854701374,0.20991604229415736,2.3540868156244117,0.35028842567574076,0.1505173785548045,0.07148004609922669,-0.054799816256287937,0.24007902746368226,1.0612096082359166,1.3940328745986028,0.2947601250340809,ok,
shaps__behavioral_only__non-symptom,shaps,SHAPS anhedonia severity,behavioral_only,non-symptom,222,177,45,195,192,15,1.422390661989688,0.22115072199952449,2.1611277830181033,0.33909648336895576,0.2858089006406709,0.05997647344129158,0.18033791315856773,0.36809327207569054,1.2032092505415863,1.7052146130243682,-0.05523435033252455,ok,
shaps__multimodal__all,shaps,SHAPS anhedonia severity,multimodal,all,222,177,45,279,719,15,1.4198927810076787,0.24482194007387997,2.1577400981339334,0.3427397863832634,0.2878337409422319,0.06436981633562514,0.19358385480152795,0.3964514308489566,1.1706996786884822,1.6853579974728181,-0.030801782935898636,ok,
shaps__multimodal__relevant,shaps,SHAPS anhedonia severity,multimodal,relevant,222,177,45,97,537,15,1.5017401983306549,0.2439113823893605,2.261425652666256,0.3644776987679793,0.2176741878062553,0.07999282252654287,0.07217801187632744,0.3544130139849142,1.1419086115502721,1.578043712927771,0.09629041777428293,ok,
shaps__multimodal__category,shaps,SHAPS anhedonia severity,multimodal,category,222,177,45,81,521,15,1.8241431289239298,0.2197704024843798,2.6100607471985526,0.3788105423587697,-0.045105155604267186,0.0851027297702727,-0.2123380949162641,0.12176691395384376,1.2630193147570237,1.5086132747483323,0.17406346311604914,ok,
shaps__multimodal__non-symptom,shaps,SHAPS anhedonia severity,multimodal,non-symptom,222,177,45,268,708,15,1.5062042994346305,0.2275527323927466,2.2497315381797516,0.3397446589644522,0.22555291324276927,0.05459390876739421,0.14923748457067432,0.3558817900446407,1.2066518401139343,1.6509659714934453,0.010838800352271805,ok,
pss__imaging_only,pss,PSS perceived stress,imaging_only,none,224,179,45,73,516,15,6.169548033198604,0.49653092032851204,7.607361761158331,0.6295696394384764,-0.06429128687650078,0.08826317049537068,-0.22093733837238272,0.06434249332726483,6.7550272876404875,7.910660095745056,-0.18757661124572822,ok,
pss__behavioral_only__all,pss,PSS perceived stress,behavioral_only,all,224,179,45,206,203,15,3.8007603491782,0.379378043741588,4.813297613656388,0.47567962073540276,0.5719581533454361,0.0628161386644342,0.4733504676317506,0.6674837634822479,3.861331575083812,4.723687496940383,0.5765535421933109,ok,
pss__behavioral_only__relevant,pss,PSS perceived stress,behavioral_only,relevant,224,179,45,24,21,15,3.828666082067241,0.40683125977657497,4.870588248350301,0.5949710883598526,0.5598776376809101,0.089220792583697,0.3859684146372433,0.7176104853180183,3.3104062586845897,4.136262984980938,0.6753222897599955,ok,
pss__behavioral_only__category,pss,PSS perceived stress,behavioral_only,category,224,179,45,16,13,15,4.487082320343987,0.390817799662787,5.430730235645684,0.4730033272062788,0.45466652343648845,0.07689516784054254,0.33562700677467716,0.5501878824851711,4.439494203880762,5.202284433685871,0.48640075777215064,ok,
pss__behavioral_only__non-symptom,pss,PSS perceived stress,behavioral_only,non-symptom,224,179,45,195,192,15,4.222335290280752,0.40771121225500484,5.229097879975182,0.4726616989543086,0.4968423911117344,0.05107577506664784,0.3879595158778467,0.573260613784128,4.293484510151434,5.3103433022627184,0.46484278648370114,ok,
pss__multimodal__all,pss,PSS perceived stress,multimodal,all,224,179,45,279,719,15,3.9707509587196403,0.34741135726145544,4.987980199119133,0.47082331485298023,0.5409701403442738,0.05980746789488727,0.4537149144468724,0.6390614735740191,4.032158908334059,4.924870146506339,0.5397161305934299,ok,
pss__multimodal__relevant,pss,PSS perceived stress,multimodal,relevant,224,179,45,97,537,15,4.20740477076735,0.3809086817723053,5.29524608822945,0.5447155384095114,0.4834829301849349,0.0691190138192391,0.3811408435802921,0.6155769087064823,4.207715957685927,5.010681675426305,0.5235363055852789,ok,
pss__multimodal__category,pss,PSS perceived stress,multimodal,category,224,179,45,89,529,15,5.00953366449292,0.35398281836002277,6.193925936060102,0.5247657336823378,0.29412935406998747,0.066326007757631,0.1304700931328191,0.36746684794918527,5.535049235986493,6.487088465625091,0.20138800591613104,ok,
pss__multimodal__non-symptom,pss,PSS perceived stress,multimodal,non-symptom,224,179,45,268,708,15,4.379136380694572,0.37777466498288415,5.384976009748967,0.46095432812643217,0.46601763742158203,0.05262288398740141,0.367709217469248,0.560553187491824,4.505354758943265,5.513822631426451,0.42304522686698254,ok,
